,page,id,text,like,love,care,haha,wow,sad,angry
1918,john.barthelette,10108795904199331,"很久以前在羅馬，曾經有個賣假珠寶的珠寶商，他這樣騙大家好幾年，不過天網恢恢嘛，他有一天被發現也被拉到羅馬皇帝的面前。皇帝看了他一眼就說「把他丟進競技場，讓他跟獅子決鬥！」

幾天後，皇帝和羅馬群眾都坐在競技場的座位上看著下面的珠寶商，珠寶商一直盯著放獅子進來競技場的那扇鐵門，快要被嚇得屁滾尿流了呢。

然後．．．獅子的專用鐵門終於開了之後，跑出來的不是獅子！而是！一隻小母雞！

羅馬皇帝在上面快要笑死，對競技場裡的珠寶商說，

「你那麼喜歡騙人！那我也騙你！好玩嗎？你可以回家了！」

這個故事真的很幽默．．．但我以前在加州竟然聽過類似的事情！

我小時候的朋友很不喜歡做家事，他每天會敷衍父母說「好啦，我晚點再做啦！」，當然他．．．都不會去做。他爸有一天受不了，就跟他說隔天要去迪士尼玩，隔天爸爸媽媽兒子真的都準備好了，就好像真的要去迪士尼一樣，甚至都一起上車了，他爸也啟動了引擎，然後就突然．．．

熄火了！轉過去看了他兒子一眼說，

「你都騙我說會做家事，那我今天也是騙你嘍！下車吧，我們今天不會去迪士尼！」

😂😂😂

#trauma",1359,7,2,1199,25,2,0
1919,john.barthelette,10108794868285311,"前幾天我在家工作時，就聽到了門鈴的聲音，跑下去看看是誰，原來是快遞先生要我簽名收包裹（絕對不是哥吉拉．．．絕對不是），反正幾個小時過後，我就發現有人打給我的手機，但我沒接，所以我就回電：

小畢：「您好，請問您有打給我嗎？」
快遞：「喔喔！這是（地址）嗎？」
小畢：「是的！」
快遞：「這裡是ＸＸ宅急便，中午把您的包裹送到您家門口，然後有一個外國人幫您簽收！」
小畢：「喔喔！那個外國人齁！那我就去問他！😅」
快遞：「嗯嗯！一個外國人」
小畢：「好的，謝謝您！那我就問問他～😂」
快遞：「沒問題，８１～」

然後我就站起來，走到鏡子的前面，說：

「包裹咧！」

🤣🤣🤣",1269,1,1,1996,8,1,0
1920,john.barthelette,10108788530092101,"今天有人問我「台灣不是塑膠做的」的英文怎麼說

前陣子好像有人提出一些翻譯，我個人覺得都有點不太到位

因為這個說法是關係到文化，如果要用英文講這種「不要以為我好欺負」的意思，就需要在英文裡面找到相對的情況和說法：我個人覺得

「Taiwan is no pushover!」

這樣說最貼切，最能夠讓外國朋友懂這句話的意思

在美國一個「pushover」就是一個推一把就會倒下來的人，電影裡常常演這個吧，在學校的壞學生推人一把，可憐的受害者也就那樣被pushed over

所以在美國要說你才不是那樣好欺負的人物，我們就會說「He's no pushover!」

這句話的語法也比較強烈，不是簡單地「He's not a pushover」而是比較全面否定一整個範圍的「He's no ____」>>>「他並非＿＿＿」

嗯！反正，如果還有人還在想這個問題，我覺得可以參考這個說法看看～",2081,24,1,12,4,0,0
1921,john.barthelette,10108787494871691,"如果有外國人跟你開玩笑，但你覺得很冷，很不好笑，所以沒笑－－－不過，如果完全不給對方任何反應，在很多地方這會被視為一種冷暴力（文化差異！），但如果你真的真的覺得很不好笑，想提出抗議，美國人有一個嗆人的句子可以用：

在對方開玩笑失敗後，你就淡淡地說一句

「I am laughing on the inside」（我是在心裡笑著）

很嗆喔🤣🤣🤣",1296,5,0,709,18,0,0
1922,john.barthelette,10108784680806101,"美語每代的流行語都不會消失！

有時候會變成標準的英文，譬如說「awesome」等於很棒這個說法，30年前本來是長輩無法接受的新詞，９０年代的很多保守家庭會反對孩子使用這個詞，但久而久之，這個說法已經成為了總統也會講的英文

但也有時候，某些說法會遇到一個很特別的情況，然後變為某個時代的「代表語」，譬如說「groovy」（很酷）這個詞肯定會讓人想起嬉皮年代的美國（７０年代），但「groovy」已經不是當代的英文，所以這種詞會產生３種用法

（１）７０年代的長輩會繼續使用－－－他們也沒有停止使用過呢！跟他們講話肯定就會聽到
（２）以７０年代為背景的電影和影集－－－美國人聽到這個詞就可以知道電影的歷史背景是什麼
（３）年輕人想要「諷刺地復古」，他們也有可能會想要讓自己聽起來比較特別，也可能是單純希望搞點「復古」的ＦＵ

所以有時候，討論到一些比較具有年代特色的說法，會有人對我說「這個詞已經沒有人在用吧？」

啊！難道你不打算跟任何４０歲以上的美國人互動嗎？哈哈哈哈你的美國老闆會很傷心，徹底地被你冷落了～～～🤣🤣🤣

我今天在考慮這個情形的時候，就想起了８０年代的一個好好笑的說法（對，還有人在用啦，但用的話會有８０年代的ＦＵ）

「correctamundo」
「exactamundo」
「perfectamundo」

這是什麼東西呢？！

就是把amundo（模仿西語的「世界」）接在某個詞的後面，等於是加強那個詞的意思，所以

「correctamundo」＝非常正確！
「exactamundo」＝非常精準！
「perfectamundo」＝非常完美！

我爸很愛講這個詞，前幾天看netflix的時候也聽到了，就笑了一下：果然還有人在用

大概是因為編劇的年代跟我爸一樣，演員被強迫使用了🙃😅",1129,4,0,284,4,0,0
1923,john.barthelette,10108783468425721,"你們知道嗎？英文的「confidence」本來就跟「自信」這個詞不太一樣！而且，這個詞也有另外一個很常用的意思：「私下告訴人」，「私下的秘密」等等

原因很簡單，「confidence」來自於拉丁文的CON（這個音節是用來強化拉丁文的動詞）＋fidere（信任／有信仰於）

所以當美國人說「I have confidence」，這不是說「我有自信」，因為自信這個詞有點太弱，自信是來自於自己，confidence是先來自於信仰，信仰是來自於自己之外，所以也就是比自己更大更有影響力，因此就更堅固。

所以！美國的政治人物動不動就把「confidence」掛在嘴巴上，對自己有confidence，對軍隊有confidence，對人民有confidence，講得鏗鏘有力，講得非常有感覺～

那我相信一定會有那群很愛直接翻譯，什麼都愛看得很簡單的人過來說「啊不就是自信嘛」

但它就不是

你們想一想，「I put my confidence in you」是「我把我的自信給你」嗎？不是呢，是「我相信你」嗎？又不是，那是「I believe you」才對

「I put my confidence in you」是等於說「我有信仰（fideo, faith）於你」，對！這個詞本來就有點宗教的色彩在內。就像信仰是來自於神，你認為那個人可以辦到某事／不會犯錯的想法是來自於你的信仰（faith）然後是託給他－－－在西方文化，這種形而上學的關係是很重要的。

這個詞接下來的演變可以再次證明這一點：「It was a confidence to a friend」（這是我出於有信仰＞因此相信這位朋友不會說溜嘴而告訴他的事情）

如果要正確地使用這個用法，你只要記得
「It was a confidence」
「I told it to him in confidence」
就是相信人然後跟他們說個秘密就好

甚至做翻譯的時候，你當然得繼續把這個詞翻為「自信」

但同時你可以記得．．．西方人說的「confidence」跟你說的「自信」，即使有重疊之處，但這兩個詞的感覺本來就非常不一樣

然後

這就是大家所說的「language is culture」",2972,29,0,3,27,0,0
1924,john.barthelette,10108782165102591,"剛經過我家附近的攤販，老闆在賣外帶的牛肉麵－－－很香！周圍有一些客人在等自己的餐點，佇立在那邊看著老闆的一舉一動。他們的表情都是那種．．．我想我們都看過（也做過！）但沒想過的那種表情吧

不是快樂，也不是期待，甚至不能說是等待，而是１００％的專注與注意

是人類最可愛的表情之一吧，如果自己已經吃飽了話，會覺得這個表情有點幽默，如果自己餓了也在等，心裡會冒出一種要競爭！要搶！害怕自己的餐點被別人拿走的心情！

這種表情又是什麼呢？

文明之前的人類本來就是雜食性動物，天天在外面覓食，苦苦澀澀的原始水果，草，蟲，小動物，大動物－－－什麼都找來吃！我今天突然意識到了，那種很專注在等老闆端出來餐點的表情．．．這應該是我們人類以前打獵時看到了目標的表情吧

想一想，也有點類似貓咪打獵的感覺，是不是？

人類真的很可愛，整天把自己包裝為很有文明的人，但只要我們真的很餓的話，我們唯一想要做的就是

捕殺一碗好吃的牛肉麵！😋",713,8,0,238,3,0,0
1925,john.barthelette,10108779563800621,"如果要快速把一種語言的語法學好，雖然方法很重要，但最關鍵的一定是態度－－－從小到大，我們的老師和父母都一直用這句話罵我們：「學習的態度很重要！」

不過．．．基本上對於「學習」要採取什麼樣的「態度」，除了「要認真」，「要努力」這種虛無沒方向的詞之外，通常他們比較說不出來學習語法的態度應該要是個什麼樣子！

但我覺得有個相當好的答案，而且這個答案背後的心理邏輯我們懂了之後，要走的路，要採用的方法都會變清楚了。

我們要做的是：

把語法當作寶可夢卡牌來收藏

真正的收藏家會一直看自己的卡牌，遇到新的就會一直研究，卡牌越多自己越爽，自己也不會嫌卡牌太多，不會覺得有SPECIAL EDITION（語法的小例外）是一種困擾，反而會覺得很高興。

其實，任何愛收藏東西（不管是哥吉拉，化妝品，或鉛筆）的人都知道那個心態

這才是把語法學好的最佳心態

如果沒有這種精神，你學習語言的過程會很痛苦，很漫長，很不愉快－－－而且這是你自己選的！

但只要你把小朋友收藏玩具，寶可夢，哥吉拉公仔（嘿嘿😌）的精神拿出來玩語言

你就天下無敵了～

😎",1210,30,0,73,3,0,0
1926,john.barthelette,10108777176494801,"剛去便利商店回來，

到了自家的門口就從口袋裡自動地掏出手機要拍ＱＲ CODE，呆呆地看了門口幾秒才想起

這是我家，不需要拍ＱＲ CODE

🤣🤣🤣🤣",799,1,4,1407,6,3,0
1927,john.barthelette,10108775570757711,"每隔一段時間，我喜歡提醒大家

綠豆的英文並非「green beans」！
同樣的
紅豆的英文並非「red beans」！

綠豆是「mung beans」，四季豆才是「green beans」呢，電影裡的美國父母提醒孩子要「eat your green beans！」時，盤子上的豆類的確是四季豆，並不是綠豆呢～

美國本來沒有日本，台灣的紅豆，所以在美國出現的話，我們會用日文稱之為「adzuki bean」，後來因為美國華人地區的錯誤翻譯，也有人說這是「red bean」但美國本來已經有自己的「red beans」所以如果硬要這樣講，造成誤會的機率頗為高。

美國人印象當中的「red bean」是腰豆或芸豆（我在台灣很少看到美國的那種芸豆），基本上美國的「red bean」是鹹的料理用的，特別是chili，red beans and rice，red beans and sausage等等，但台灣日本的紅豆是甜的

所以（在美國）講英文的時候，這兩個詞要留意！

不然．．．誰知道你會不小心點到什麼奇奇怪怪的餐點？顆顆😉",2417,11,2,197,34,1,0
1928,john.barthelette,10108774081711771,"我最近發現很多人會把「我不能同意你更多」翻為「I can't agree with you anymore!」

可是！

這句話真正的意思是「我本來很認同你的想法，但你現在這樣說，我已經無法認同了！」

這句話用錯真的可以造成各種誤會～基本上講英文的時候，只要是否定句＋ＡＮＹＭＯＲＥ，這就等於說「我已經無法＿＿了！」

譬如說，
哥吉拉：「I can't stand your attitude anymore!」（我已經無法接受妳的態度啦！）
妙麗：「Well, I can't stand your destructive behavior anymore!」（是吼！那我已經無法接受你的破壞行為了！）
哥吉拉：「...Fair enough.」（說的也是．．．）
妙麗：「Generally speaking, I am always right.」（是不是！基本上，我都是對的）
哥吉拉：「I don't want to fight anymore, let's go eat McDonald's. I want to get my favorite order: 100 orders of chicken nuggets」（我不想再吵架了！我們一起去吃麥當勞吧，我想吃我每次的１００份雞塊！）
妙麗：「Excellent!」（好！）

．．．言歸正傳，如果要說「我不能同意你更多」直接說「I can't agree with you more」即可，拿掉「any」就好了！

雞塊～～～～～🥳😎😌",2705,8,0,86,26,0,0
1929,john.barthelette,10108771040750881,"１９６９年：人類第一次登陸月球
１９７２年：人類第一次發現如果行李箱裝了輪子的話，可以拉行李，這樣很方便！（對，１９７２年前的行李沒有輪子）

這件事情可以告訴我們一個道理：即使一個人再聰明，如果他／她沒有專心去想如何改善某個情況，他／她會永遠找不到任何答案。

美國太空總署的科學家和工程師跟大家一樣感到搬運沒有輪子的行李很麻煩，但他們都沒去解決這個問題（即使基本上解決這個問題就可以賺大錢！）

很有趣吧，我們登陸月球對一般人的影響不大，但行李有沒有輪子．．．我們的日常生活就差蠻多！

Everything in life depends on what we focus on

那

你今天在ＦＯＣＵＳ什麼呢？",1236,12,3,36,13,0,0
1930,john.barthelette,10108769957337051,"這幾年在美國有個很好玩的流行語：「thirst trap」（飢渴陷阱）

「thirst trap」基本上就等於ＰＯ一個性感的自拍照，男女不限。

對於為什麼會這樣說，這其實是在酸ＰＯ性感自拍的人，意味著他們為了吸引別人的注意力就故意引起大家的「飢渴」（thirst）

最近這個詞有兩種極端的用法，
要麼是稱讚人的自拍好好看
要麼是叫人不要再這樣吸引大家的注意力
「Stop posting thirst traps!」

🤣🤣🤣

人類真的是很有趣",414,0,0,46,0,0,0
1931,john.barthelette,10108769893554871,"美國在阿富汗撤兵這件事情，國內國外都有人在批評美國政府是處理得不好的，基本上只能說一整個很亂。但西方人曾經有更亂的從阿富汗撤兵事件：大約２３５０年前。

亞歷山大大帝當年打敗了伯斯帝國的國王大流士三世之後，大流士三世就逃到了現代阿富汗的那一帶，然後亞歷山大大帝就追著他到那邊，順便征服了路上古代伯斯帝國的那些省，結果是到了阿富汗時，就發現阿富汗某省的總督已經殺了大流士三世並自稱為伯斯帝國的國王。

接下來，亞歷山大就花了大量的時間和人力征服那邊的部族，過程當中自己也差點陣亡。亞歷山大有一個讓西方世界和亞洲世界混為一個種族，一個文化的夢想，所以他自己娶了當地的老婆，也讓了一大堆希臘軍人搬過來建立城市，進行一個殖民計畫。

但問題是，希臘人畢竟是希臘人，很想念地中海的世界，所以亞歷山大大帝過世了之後，他們就造反了！於是，亞歷山大的繼承者就派兵去阿富汗．．．然後那邊的希臘軍人和殖民者，他們全部都屠殺了！然後就回家了。

阿富汗那一代撤兵事件很多，但那一次大概最殘忍也最亂吧，軍隊主動要撤兵回家，結果就被自己人屠殺了：歷史的眼淚。

後來，亞歷山大的另外一個繼承者又征服了阿富汗那一帶，更後來那邊就變成了一個當地人＋希臘人的國家，即獨立又獨特，這個處在亞洲的希臘文化國也持續了幾百年。

啊，你們知道嗎？司馬遷也有提過他們，漢武帝征服的大宛就是希臘人的後代

大宛＝古漢語的dâi-jwɐn＝Great Ionia （古代希臘人自稱為Ionians）

有趣吧？

原來兩個世界早就認識了。",778,5,0,5,114,1,0
1932,john.barthelette,10108759493202261,"我小時候在美國很愛吃「tater tots」

這是什麼東西呢？這是美國某家公司很久以前發明的小吃，當時那家公司好像在做薯條或其他的馬鈴薯產品，但做薯條的過程就會造成很多小小的「馬鈴薯細片」（potato slivers），這樣很浪費！

所以他們就把細片弄成球，加了點麵粉和調味料－－－然後tada！美國的經典小吃就問世了～

「Tater」是馬鈴薯的口語講法（Potato＞Potater＞Tater），《魔戒》三部曲裡有人物叫馬鈴薯「taters」所以你們其實早就聽過這個說法－－－只不過是被字幕耽誤了！「Tot」是小朋友的意思，因此「tater tots」就是「馬鈴薯小孩」！

就是薯球啦哈哈哈

美國人常常會吃，特別是小時候，前陣子在某家台灣餐廳的菜單上看到了「tater tots」就相當興奮了，那真的是美國童年的味道

🥳",903,8,0,10,4,0,0
1933,john.barthelette,10108758072823711,"為什麼哈利·柏特沒有跟妙麗·格蘭傑在一起？

對於為什麼很多人會一直想這個問題，也不難懂，哈利是主角，然後小說裡面最有趣，最有能力的女生就是妙麗：哈利很強，妙麗很聰明，他們最後在一起不是天經地義的事情嗎？

原因很簡單，因為我認為作者看透了人類的一個很基本很基礎的事情，其實．．．這７本書都在寫這件事情

創傷

妙麗是一個很特別的人物，因為她基本上比較沒有心理創傷的問題或情結。想一想，她父母發現她是個女巫之後，知道了他們的孩子要進入他們無法懂也參與不到的世界．．．他們的反應是．．．祝福，溫暖地支持，愛。他們完全不怕失去與女兒的關係，妙麗也不怕失去父母，他們是安全型依附。妙麗愛人的潛能，交朋友的能力，對自己的信心，都極為健康－－－她不是完美的人，因為這世界上沒有完美的人，但她很了解自己，所以她很懂別人的情緒和想法，她每次開口分析別人的動機，她都看得很準。

哈利反而是一個非常不一樣的人物，他父母被謀殺了，他被當一個不受歡迎的老么，被虐待了很多年，他最缺乏是父愛母愛，但他每次要建立這樣的關係，對方就消失了，這就像鄧不利多後來跟哈利說的：他遇到這麼多創傷，但他心裡竟然還有愛，真的是一種奇蹟。

但同時哈利心理上的疤痕很多很多，很容易理智斷線，很容易爆走，難以管好自己的情緒，沒有自律－－－這都是兒時心理受創的跡象。他一直在自責，所以難以接受別人糾正他的聲音，妙麗和鄧不利多的勸言和建議，他一半聽不懂，一半不想聽，但這不是固執，這是心裡的創傷很痛很痛，所以必須避開別人，很想要建立健康的關係，但．．．又不太敢：哈利就是迴避型依附。

迴避型的人和安全型的人，在一起很難，而且即使一個人可以透過諮商和成長脫離小時候的創傷心態，遇過這種問題的人通常都會偏向．．．要麼是很會傷害自己的人（希望重演小時候遇到的問題，然後這一次得到愛！），要麼是也有類似創傷的人，然後如果兩個人都努力在成長，就可能會有個健康的結果。

我們先談談哈利跟張秋的事情，基本上如果用成人的角度來看他們的互動，從第一次有比較深入的談話，我們都可以感覺到一股．．．怪怪的感覺。作者也是呢！他們第一次深入談話就在城堡的某個塔上遇到彼此，剛好上面有．．． 騎士墮鬼馬，只有見過人死的巫師和女巫才可以看到這匹馬。這段關係是誕生於死亡的影子裡。

為什麼張秋被哈利吸引了？他們有一個共同的創傷，她一直要跟哈利談她前任被殺了這件事情，哈利一直在迴避這些回憶，這些感受，張秋動不動就大哭，一直燜著談著想著辦法處理自己的創傷，然後始終不能，那不然代替已故的前任？那不然找見到前任死的男生幫她分擔這些壓力？張秋很焦慮，因為她是焦慮矛盾型依附。

所以她跟哈利根本就不可能的，因為張秋需要一個人讓她穩定，幫她管好情緒，接受她，了解她，陪她難過，解決她的焦慮（當然，別人無法幫她，但她這樣的邏輯是很常見的一個想法）。

然後！她那麼想接近哈利就是因為哈利１００％無法給張秋她需要的愛和安慰－－－越無法給就越想要！哈利被她吸引的道理也很類似，她這麼會表達自己的情緒！如果能滿足她情緒上的需求，好像她會給哈利所渴望的「家人」的感覺？但她太焦慮了，哈利太害怕了，如果一方有放下戒備心好好地談了一下（就像妙麗說的！），說不定也有機會繼續交往，但兩個人都無法建立健康的關係，而且就是因為目前無法這樣做，才被彼此吸引了！關係不成立，太矛盾了。

話說回來，妙麗每次都把人看透透了，她也懂得給周圍的人面子，很多事情，她一直沒講出來，即使她早就看懂了。但是！她對自己有信心，真正的信心！哈利每次開始犯傻，她１００％會告訴他真話，然後．．．每次哈利都很不爽，因為他目前無法建立那種．．．同時很親密也同時很坦白的關係，他聽到真話只會心裡痛痛的。這種循環．．．朋友之間可以，但情人．．．連開始都無法耶，然後小說裡的確從頭到尾都沒有這種「開始」的可能性。

那一個心理創傷的人最好的選擇之一可能是，（１）自己成長（２）找到也有類似的成長過程的人，互相珍惜互相愛護。

因此金妮·衛斯理當然會跟哈利結婚！

金妮·衛斯理也是老么，也是一直被欺負的人（看看字裡行間的訊息吧，她兄弟們對她蠻壞耶），她跟哈利一樣被佛地魔附身過，她第一次看到哈利就逃走了！因為她也是迴避型的人，她也是到了很後來－－－經歷過妙麗的輔導！才敢告白。但金妮，我認為就是比哈利聰明一點也幸運一點，她的家人畢竟是愛她的，她的父母很愛彼此也愛她，然後她看到了妙麗那麼懂人類，她就有認真跟妙麗學，大家要記得，金妮後來有跑去跟別的男生交往就是因為妙麗有勸她這樣做，經過這樣的過程更了解自己，也更懂什麼樣的關係是好的，什麼樣的關係是壞的。

其實，當我們已經知道結局的時候，如果從頭到尾重新看這７本書的話，作者一直在鋪陳這兩個人的事情，而且金妮的故事也很精彩，但她的故事都是在哈利的視角之外發生的，所以我們只能看到一些暗示一些痕跡，但她成長的結果和重要性是非常明顯的：

我覺得有一個畫面特別有代表性也很感人，

第六本書的最後的魁地奇比賽，哈利被石內卜懲罰，所以無法參賽，大家本來就覺得完蛋了，哈利無法出馬，怎麼辦？但．．．離開了石內卜的辦公室要回到宿舍的哈利，一開門就發現，他們竟然勝利了！而且是金妮代替哈利的角色，抓到了金探子（然後一個有趣的細節是，這場比賽就是金妮ＶＳ張秋，作者很幽默耶🤣）

金妮看到了哈利就立刻跑過去，衝動地抱住了他，然後哈利就衝動地吻了她－－－果然是兩位獅子座對彼此告白的樣子！不過想一想這件事情背後的意義，兩個人本來無法表達自己，一直想要彼此也一直迴避彼此，然後金妮就做了一個很勇敢的決定，冒著危險給哈利一點點愛，給他一個擁抱，然後哈利就自動地給她更多愛，吻了她，終於不迴避人了：關係成立！

我只能說，作者真的看透了人性。

😎",5716,150,9,50,102,1,0
1934,john.barthelette,10108757678009921,"最近在讀《哈利波特》，很多年沒看，現在應該是第三次吧？長大了之後，就發現裡面有超多小時候沒看懂的細節和笑點，特別是名字的部分

譬如說，魔法部派來折磨哈利的桃樂絲恩不里居（Dolores Umbridge），她的名字看起來很正常，的確這種姓和名字的人，英國真的有，不過這兩個詞放在一起就．．．很微妙

Dolores是來自於拉丁文的「dolor」，然後 「dolor」的意思是．．．痛苦。

Umbridge的發音跟umbrage（不爽）一樣，所以Dolores Umbridge這個名字要給讀者的印象就是

「痛苦不爽」

佛地魔（Voldemort）也有這樣的含意，因為一般英文母語者大概有接觸過一些些拉丁文或法文，我們會自動地把這個名字拆開．．．然後發現
Vol（拉丁文VOLO，第一人稱「我要，我希望」）
de（的）
mort（拉丁文的mortuus，法文的mort，死亡／死了）

所以Lord Voldemort就等於「死亡的慾望主」

而且，Voldemort這個名字有點法語的感覺．．．果然英國的作者和讀者們就對對岸那邊有一些想法😏

最近另外一個有趣的部份是，小說裡面的人物的星座真的都非常符合他們的個性和行為，這我改天要分享一下，因為我覺得很有趣

譬如說，哈利是獅子座．．．然後作者她本人也是🤣

顆顆

然後，我根本就不用去查就已經知道了露娜·羅古德跟我一樣是水瓶座

*太空船飛走了*😎",2175,18,1,388,17,0,0
1935,john.barthelette,10108756609092041,"我最近遇到了一個很新奇的東西

不，我不是說現在韓國泡菜的官方翻譯是「辛奇」（不過那也蠻有趣）

我是說．．．最近好像突然有很多「猜想動物學」（speculative zoology）或「猜想進化」（speculative evolution）的書籍和影片

「猜想」（speculative）是指什麼呢？這就是說，假設有符合條件Ａ，Ｂ，Ｃ的星球，住在上面的動物和生態會如何呢？

譬如說，或許有一些星球，上面的植物都是紅色的，因為那個恆星系的太陽跟我們的太陽不太一樣，等等。

這種猜想比較接近真正的科學研究，但也有很多比較接近科幻的猜想，譬如說

如果隕石的撞擊沒有讓恐龍的世界毀滅的話，現在地球上的動物會是怎麼樣呢？

如果人類消失了之後，很久很久以後我們會看到什麼樣的新動物呢？

很多作者和畫家都把這些猜想寫成很有趣的圖鑑！然後最近youtube上有一大堆介紹這些內容的影片

我今天看到了一個超有趣的也很有故事性的影片叫做「All Tomorrows」，它在講the next billion years of human history

10億年耶！

我等一下會分享一些比較有趣的影片，純粹覺得very cool然後想跟大家分享～

😎",348,3,0,5,2,0,0
1936,john.barthelette,10108754532773001,"美國人最近很喜歡一個新的說法：「glow up」

這是glow（發光）和grow up（長大）的概念結合在一起

意思是變得成熟，變得有自信，所以就越來越吸引人，可以是自然的過程，也可以是一個計劃出來的「personal transformation」

最常見的說法之一是

「you have a glow up coming!」

感覺有點類似

「你的好日子要來了！」

蠻漂亮的一個說法吧！

😁",1783,43,4,2,2,0,0
1937,john.barthelette,10108753676573831,"一群獨角獸的英文是什麼？

獨角獸當然是「unicorn」

但一群「unicorn」的量詞又是什麼？

「a blessing of unicorns」（一「幸福」獨角獸）

😎🥳",1368,134,5,54,161,0,0
1938,john.barthelette,10108753583041271,"我最近看到了兩句話，我覺得很勵志，第一句話是：

「If your choices are beautiful so too will you be」（如果你的選擇很美，你也會如此）

很多時候，我們會誤以為自己是一個固定的存在，有時候也有人認為，「我說我是什麼人，那我就是什麼人！」，但我反而認為．．．我們的人生的後面好像有一股衝力，一股動量，這是我們每天所選擇的事情累積出來的「慣性」

一次性的決定，如果可以變成很多次的決定，很多次的決定如果可以變成了一個習慣，然後如果可以再建立很多正面的習慣－－－這才是「being beautiful」，人出生了都是空白的，美不美是自己決定的。

所以有另外一句話是說，「The soul becomes dyed with the color of its thoughts」（我們每日思考的事情，會染色我們的靈魂）

我覺得這個部分最難，但又是最值得去實行：如果習慣討厭傷害我們的人，幻想一些不太好的事情，或簡單地對別人生氣很久，即使我們表面上沒表現出來，但我們的靈魂肯定會「染色」

美國的俗話說，那些傷害過我們，但一直留在我們的腦海裡不走的人是「living rent free in our heads」（不用付房租還能定居我們的腦海裡），同一個道理，房客一個地方住久了，那個地方就會有房客的味道，會「染色」。

這是人生最奧妙之處吧，人對我們不好，不管家人，親戚朋友，同事或老闆，他們傷害了我們一次，但我們對他們的憤怒，有時候會讓我們慢慢地變得跟他們很像

很諷刺吧，啊，那就是尼采所說的．．．「深淵也在凝視著你」的那個道理吧。不過，我覺得比較重要的是，我們也可以不要選擇看那個黑暗的深淵吧。反正，我越來越相信，如果自己的靈魂染上了正義和正面的顏色，黑暗的那些自然就會撤退。

ＰＳ
那兩句話是愛比克泰德和馬可·奧理略的",1971,96,6,0,3,1,0
1939,john.barthelette,10108753550591301,"我剛在想美國人看新聞的態度似乎跟我們這裡的人有點不一樣，又想一想就開始覺得「a news story」這個說法也夠有趣吧

「news story」就是一篇「新的故事」，「story」這個詞又來自於拉丁文的「historia」（歷史）－－－所以在美國人的認知裡，一篇新聞不只是該有故事性（即該有的背景，人物，時間點都要說清楚，而且要有敘事性），新聞也是要有連貫性，今天的新聞與昨天的新聞是有關係的，而且好的新聞一定會把這些關係都講出來。

當然，如果要說一篇英文的新聞報導是否．．．「很真實」，這是另外一方面的問題，但美國的「有立場的新聞」還是會遵守這些潛規則，很多時候不是不寫背景或不解釋，而是刻意玩弄這些因素的關係。

台灣的很多新聞報導反而有點．．．嗯，真的就是「新聞」，最近聽到的那些事罷了，比較沒有連貫性或故事性，很多時候看新聞會有點心煩，因為記者會寫出來一些人物和事件，有時候那些關鍵人物的黨籍或他／她們之間的關係都不講清楚，害我要跑去wiki一下才弄清楚。好像讀者唯一的選項是（１）１００％接受新聞的說法（２）自己去補背景資料，然後大部分的人應該是懶得去查吧？

啊，我好像懂了點什麼哈哈😏🙃

不過說到新聞，我想跟大家分享美國新聞的一個很有趣的說法：

很正常，很普通，甚至不太需要報導的新聞叫什麼？

「a dog bites man story」－－－狗狗咬人是很常見的事情，所以就是沒意思的新聞

那有趣的新聞叫什麼？

「a man bites dog story」－－－這種新聞很不正常！哪有人這樣做？所以．．．就非報導不可！

好笑的是，我剛剛去搜索「man bites dog」結果有一堆真實「人咬狗事件」

無言！🤣🤣🤣",287,4,0,96,0,0,0
1940,john.barthelette,10108749545058421,"今天在美國的網路上看到了一個說法：
「The side of the hamburger you bite first is the front」（你先咬漢堡的哪一邊，哪一邊就是漢堡的前面！）

．．．好深奧的美國哲學觀念

🤣🤣🤣",718,3,0,293,19,0,0
1941,john.barthelette,10108749413162741,"要說我們跟朋友很好，我們就會說他們是家人
要說我們跟家人很好，我們就會說他們是朋友

🙃
🤣",934,8,1,510,3,0,0
1942,john.barthelette,10108742245516761,"美國郵局以前願意寄孩子這件事情可以讓我們進一步了解美國文化的一個特點

想一想－－－郵差很明顯沒有準備好「送孩子」，郵局沒有培訓也沒有設備，政府也沒有打算讓人這樣做，但因為規則只是說重量沒提到內容，當郵局遇到人要寄孩子的時候，他們的反應就是

「的確．．．規矩沒說不可以寄孩子．．．那我們就送吧！」

美國文化的一個特徵是「the rules are the rules!」

我覺得這可能是德語文化圈帶來的影響，特別是１００－１２０年前，很多美國人的母語是德語（還有相關的方言），所以他們對很多事情的解讀方式是．．．很硬的。

其實，有一系列的兒童電影就是拿這個文化特徵來開玩笑，不知道大家有沒有看過「Air Bud」的電影系列？

故事內容是，有個很神奇的黃金獵犬，他竟然很善於玩籃球，有一天突然加入了學校的比賽，然後表現非常厲害，學校就讓他正式加入了basketball team，但當其他學校提出抗議說狗狗不能玩籃球時，運動協會的代表竟然就說，

「其實．．．規則手冊並沒有規定狗狗不能玩耶！那只好讓這隻狗狗參賽耶！」

嗯，美國的很多現象就是這個道理：「The rules say we have to! So we are going to do it!」

😏",1111,4,1,285,14,0,0
